destination,passanger,weather,temperature,time,coupon,expiration,gender,age,has_children,education,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,26,0,Bachelors degree,$37500 - $49999,,1~3,1~3,gt8,gt8,gt8,1,1,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,0,0,0,1
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
Home,Alone,Sunny,55,6PM,Bar,1d,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,0,0,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,1,0,1
Work,Alone,Sunny,55,7AM,Bar,1d,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,1,0,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,0,0,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,26,1,Some college - no degree,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,0,0,0,1
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
Home,Alone,Sunny,55,6PM,Bar,1d,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,0,0,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,1,0,1
Work,Alone,Sunny,55,7AM,Bar,1d,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,1,0,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,0,0,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,50plus,1,Bachelors degree,$100000 or More,,gt8,never,1~3,4~8,1~3,1,1,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,1,0,0,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,0,0,0,1
Home,Alone,Sunny,55,6PM,Bar,1d,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,0,0,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,1,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,1,1,0,1
Work,Alone,Sunny,55,7AM,Bar,1d,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,1,1,0,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,1,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,0,0,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,46,0,Bachelors degree,$100000 or More,,never,less1,4~8,1~3,never,1,1,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,0,0,0,1
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
Home,Alone,Sunny,55,6PM,Bar,1d,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,0,0,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,1,0,1
Work,Alone,Sunny,55,7AM,Bar,1d,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,1,0,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,0,0,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,26,1,Some college - no degree,$50000 - $62499,,never,less1,1~3,1~3,never,1,1,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,0,0,1
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,0,0,0,1
No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),1d,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,0,0,0,1
No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,0,0,0,1
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,0,0,1
No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,0,0,0,1
No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,0,0,1
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,0,0,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,1,0,1
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,1,0,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,0,0,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,0,Bachelors degree,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,1,0,0,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,0,0,0,1
Home,Alone,Sunny,55,6PM,Bar,1d,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,0,0,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,1,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,1,1,0,1
Work,Alone,Sunny,55,7AM,Bar,1d,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,1,1,0,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,1,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,0,0,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,26,0,Bachelors degree,$25000 - $37499,,never,1~3,less1,1~3,less1,1,1,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,0,0,1
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,0,0,0,1
No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),1d,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,0,0,0,1
No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,0,0,0,1
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,0,0,1
No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,0,0,0,1
No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,0,0,1
Home,Alone,Sunny,55,6PM,Bar,1d,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,0,0,1,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,1,0,1
Work,Alone,Sunny,55,7AM,Bar,1d,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,1,0,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,0,0,1,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,0,0,0,1
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,0,Some college - no degree,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,1,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,36,1,Some college - no degree,$87500 - $99999,,1~3,less1,4~8,1~3,less1,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,36,1,Some college - no degree,$87500 - $99999,,1~3,less1,4~8,1~3,less1,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,36,1,Some college - no degree,$87500 - $99999,,1~3,less1,4~8,1~3,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,36,1,Some college - no degree,$87500 - $99999,,1~3,less1,4~8,1~3,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,36,1,Some college - no degree,$87500 - $99999,,1~3,less1,4~8,1~3,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,36,1,Some college - no degree,$87500 - $99999,,1~3,less1,4~8,1~3,less1,1,1,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,36,1,Some college - no degree,$87500 - $99999,,1~3,less1,4~8,1~3,less1,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Male,36,1,Some college - no degree,$87500 - $99999,,1~3,less1,4~8,1~3,less1,1,1,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Male,36,1,Some college - no degree,$87500 - $99999,,1~3,less1,4~8,1~3,less1,1,1,0,0,1
