occupation,maritalStatus,,Y
Business & Financial,Divorced,,1
Business & Financial,Divorced,,1
Business & Financial,Divorced,,0
Business & Financial,Divorced,,1
Business & Financial,Divorced,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,0
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,0
Protective Service,Unmarried partner,,0
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,0
Protective Service,Unmarried partner,,0
Protective Service,Unmarried partner,,0
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,0
Protective Service,Unmarried partner,,0
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,1
Protective Service,Unmarried partner,,0
Food Preparation & Serving Related,Divorced,,1
Food Preparation & Serving Related,Divorced,,0
Food Preparation & Serving Related,Divorced,,1
Food Preparation & Serving Related,Divorced,,0
Food Preparation & Serving Related,Divorced,,0
Food Preparation & Serving Related,Divorced,,1
Food Preparation & Serving Related,Divorced,,1
Food Preparation & Serving Related,Divorced,,1
Food Preparation & Serving Related,Divorced,,1
Food Preparation & Serving Related,Divorced,,0
Food Preparation & Serving Related,Divorced,,1
Food Preparation & Serving Related,Divorced,,1
Food Preparation & Serving Related,Divorced,,0
Food Preparation & Serving Related,Divorced,,1
Food Preparation & Serving Related,Divorced,,0
Food Preparation & Serving Related,Divorced,,0
Food Preparation & Serving Related,Divorced,,0
Food Preparation & Serving Related,Divorced,,0
Food Preparation & Serving Related,Divorced,,0
Food Preparation & Serving Related,Divorced,,0
Food Preparation & Serving Related,Divorced,,1
Food Preparation & Serving Related,Divorced,,0
Student,Single,,1
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,1
Student,Single,,0
Student,Single,,1
Student,Single,,0
Student,Single,,1
Student,Single,,0
Student,Single,,0
Student,Single,,1
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Unemployed,Single,,1
Unemployed,Single,,0
Unemployed,Single,,1
Unemployed,Single,,0
Unemployed,Single,,1
Unemployed,Single,,0
Unemployed,Single,,1
Unemployed,Single,,1
Unemployed,Single,,0
Unemployed,Single,,0
Unemployed,Single,,0
Unemployed,Single,,1
Unemployed,Single,,0
Unemployed,Single,,1
Unemployed,Single,,1
Unemployed,Single,,0
Unemployed,Single,,0
Unemployed,Single,,1
Unemployed,Single,,1
Unemployed,Single,,0
Unemployed,Single,,1
Unemployed,Single,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Installation Maintenance & Repair,Unmarried partner,,1
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,1
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,1
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,1
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,1
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Installation Maintenance & Repair,Unmarried partner,,0
Unemployed,Single,,0
Unemployed,Single,,1
Unemployed,Single,,1
Unemployed,Single,,0
Unemployed,Single,,1
Unemployed,Single,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Retired,Married partner,,1
Retired,Married partner,,0
Retired,Married partner,,1
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,1
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,1
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Business & Financial,Married partner,,1
Business & Financial,Married partner,,1
Business & Financial,Married partner,,0
Business & Financial,Married partner,,0
Business & Financial,Married partner,,0
Business & Financial,Married partner,,1
Business & Financial,Married partner,,1
Business & Financial,Married partner,,0
Business & Financial,Married partner,,1
Business & Financial,Married partner,,0
Business & Financial,Married partner,,1
Business & Financial,Married partner,,1
Business & Financial,Married partner,,0
Business & Financial,Married partner,,1
Business & Financial,Married partner,,0
Business & Financial,Married partner,,0
Business & Financial,Married partner,,0
Business & Financial,Married partner,,0
Business & Financial,Married partner,,1
Business & Financial,Married partner,,0
Business & Financial,Married partner,,1
Business & Financial,Married partner,,0
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Healthcare Support,Single,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Student,Single,,1
Student,Single,,1
Student,Single,,0
Student,Single,,1
Student,Single,,1
Student,Single,,0
Student,Single,,1
Student,Single,,1
Student,Single,,0
Student,Single,,1
Student,Single,,0
Student,Single,,1
Student,Single,,1
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,0
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,0
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,0
Computer & Mathematical,Divorced,,1
Computer & Mathematical,Divorced,,1
Computer & Mathematical,Divorced,,1
Computer & Mathematical,Divorced,,1
Computer & Mathematical,Divorced,,1
Computer & Mathematical,Divorced,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Protective Service,Married partner,,1
Protective Service,Married partner,,1
Protective Service,Married partner,,1
Protective Service,Married partner,,0
Protective Service,Married partner,,0
Protective Service,Married partner,,1
Protective Service,Married partner,,1
Protective Service,Married partner,,0
Protective Service,Married partner,,1
Protective Service,Married partner,,0
Protective Service,Married partner,,0
Protective Service,Married partner,,1
Protective Service,Married partner,,0
Protective Service,Married partner,,0
Protective Service,Married partner,,1
Protective Service,Married partner,,1
Protective Service,Married partner,,1
Protective Service,Married partner,,0
Protective Service,Married partner,,1
Protective Service,Married partner,,1
Protective Service,Married partner,,1
Protective Service,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,0
Student,Single,,1
Student,Single,,0
Student,Single,,1
Student,Single,,1
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,1
Student,Single,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Protective Service,Divorced,,1
Protective Service,Divorced,,1
Protective Service,Divorced,,1
Protective Service,Divorced,,1
Protective Service,Divorced,,1
Protective Service,Divorced,,1
Protective Service,Divorced,,1
Protective Service,Divorced,,1
Protective Service,Divorced,,1
Protective Service,Divorced,,0
Protective Service,Divorced,,1
Protective Service,Divorced,,1
Protective Service,Divorced,,0
Protective Service,Divorced,,1
Protective Service,Divorced,,1
Protective Service,Divorced,,0
Protective Service,Divorced,,0
Protective Service,Divorced,,0
Protective Service,Divorced,,0
Protective Service,Divorced,,1
Protective Service,Divorced,,1
Protective Service,Divorced,,0
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,0
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,0
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,0
Student,Unmarried partner,,0
Student,Unmarried partner,,0
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,0
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,0
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,0
Student,Single,,0
Student,Single,,1
Student,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Retired,Single,,1
Retired,Single,,0
Retired,Single,,0
Retired,Single,,0
Retired,Single,,1
Retired,Single,,0
Retired,Single,,0
Retired,Single,,0
Retired,Single,,0
Retired,Single,,1
Retired,Single,,0
Retired,Single,,1
Retired,Single,,0
Retired,Single,,0
Retired,Single,,0
Retired,Single,,0
Retired,Single,,0
Retired,Single,,0
Retired,Single,,0
Retired,Single,,1
Retired,Single,,1
Retired,Single,,0
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,0
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,1
Life Physical Social Science,Married partner,,0
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,1
Business & Financial,Unmarried partner,,0
Business & Financial,Unmarried partner,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,0
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,0
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,0
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,1
Food Preparation & Serving Related,Unmarried partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,0
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,0
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,0
Food Preparation & Serving Related,Single,,0
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,0
Food Preparation & Serving Related,Single,,1
Food Preparation & Serving Related,Single,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Education&Training&Library,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
